Ranked,Hob,Name,Ranking score,Period
1,104,London,"349,45",6 Second London Symphonies
2,45,Farewell,"336,4",Sturm und Drang
3,49,La passione,"300,15",Sturm und Drang
4,94,The Surprise,"290,25",6 First London Symphonies
5,101,The Clock,"284,4",6 Second London Symphonies
6,44,Mourning,"284,15",Sturm und Drang
7,92,Oxford,"281,75","""Channel"" Symphonies"
8,88,,"275,6","""Channel"" Symphonies"
9,102,,"270,95",6 Second London Symphonies
10,82,The Bear,"226,25",Paris Symphonies
11,31,Hornsignal,"212,85",The „4 Four-horn-Symphonies“ and other unique creations
12,6,Le Matin,"212,7",First Esterház-Symphonies
13,93,The Fart,"195,75",6 First London Symphonies
14,100,Military,"179,15",6 Second London Symphonies
15,80,(d-minor),"157,45",First Symphonies for a „new“ audience
16,73,La chasse,"154,95","After the storm + The period of the ""opera-symphonies"""
17,39,Tempesta di Mare,"149,65",The „4 Four-horn-Symphonies“ and other unique creations
18,83,The Hen,"149,55",Paris Symphonies
19,90,,"130,35","""Channel"" Symphonies"
20,103,Drumroll,128,6 Second London Symphonies
21,22,Philosopher,126,The „4 Four-horn-Symphonies“ and other unique creations
22,97,,"123,65",6 First London Symphonies
23,98,,"119,25",6 First London Symphonies
24,99,,"114,55",6 Second London Symphonies
25,48,Maria Theresia,"108,25",Sturm und Drang
26,8,Le Soir,"104,75",First Esterház-Symphonies
27,86,,"102,65",Paris Symphonies
28,7,Le Midi,"101,35",First Esterház-Symphonies
29,70,,"97,75","After the storm + The period of the ""opera-symphonies"""
30,63,La Roxelane,"97,25","After the storm + The period of the ""opera-symphonies"""
31,52,(c-minor),"94,45",Sturm und Drang
32,46,,"93,5",Sturm und Drang
33,43,Mercury,"92,75",Sturm und Drang
34,53,Imperial,"92,3","After the storm + The period of the ""opera-symphonies"""
35,26,Lamentatione,"86,25",Sturm und Drang
36,60,Il distratto,"81,5","After the storm + The period of the ""opera-symphonies"""
37,95,,"76,95",6 First London Symphonies
38,91,,"73,85","""Channel"" Symphonies"
39,47,The Palindrome,"67,9",Sturm und Drang
40,85,La Reine,"67,55",Paris Symphonies
41,67,,"57,75","After the storm + The period of the ""opera-symphonies"""
42,89,,"55,55","""Channel"" Symphonies"
43,13,,"53,7",The „4 Four-horn-Symphonies“ and other unique creations
44,51,,"52,5",Sturm und Drang
45,56,,"48,9","After the storm + The period of the ""opera-symphonies"""
46,76,(Little England 1),"45,85",First Symphonies for a „new“ audience
47,72,,"42,55",The „4 Four-horn-Symphonies“ and other unique creations
48,96,The Miracle,"41,85",6 First London Symphonies
49,64,Tempora mutantur,"41,5",Sturm und Drang
50,87,,"36,9",Paris Symphonies
51,59,Feuer,"36,15",Sturm und Drang
52,75,,"34,95","After the storm + The period of the ""opera-symphonies"""
53,77,(Little England 2),"34,15",First Symphonies for a „new“ audience
54,71,,"33,35","After the storm + The period of the ""opera-symphonies"""
55,42,,"32,75",Sturm und Drang
56,28,,"30,75",The „4 Four-horn-Symphonies“ and other unique creations
57,78,(Little England 2) (c-minor),"30,7",First Symphonies for a „new“ audience
58,41,(c-major),"27,9",Sturm und Drang
59,84,In nomine Domini,"27,65",Paris Symphonies
60,61,,27,"After the storm + The period of the ""opera-symphonies"""
61,69,Laudon,"25,5","After the storm + The period of the ""opera-symphonies"""
62,54,,"24,15","After the storm + The period of the ""opera-symphonies"""
63,81,,"22,25",First Symphonies for a „new“ audience
64,34,(d-minor),"18,95",The „4 Four-horn-Symphonies“ and other unique creations
65,38,Echo,"17,2",Sturm und Drang
66,12,,"16,25",First Esterház-Symphonies
67,1,Lukawitz,"15,85",Symphonies for Count Morzin
68,68,,"14,5","After the storm + The period of the ""opera-symphonies"""
69,16,,"14,35",First Esterház-Symphonies
70,40,,"14,2",First Esterház-Symphonies
71,2,,"13,9",Symphonies for Count Morzin
72,5,,"12,8",Symphonies for Count Morzin
73,35,,"12,25",Sturm und Drang
74,74,,"12,1","After the storm + The period of the ""opera-symphonies"""
75,30,Alleluia,12,The „4 Four-horn-Symphonies“ and other unique creations
76,29,,12,The „4 Four-horn-Symphonies“ and other unique creations
77,37,,"11,5",Symphonies for Count Morzin
78,23,,"11,25",The „4 Four-horn-Symphonies“ and other unique creations
79,11,,11,Symphonies for Count Morzin
80,19,,"7,6",Symphonies for Count Morzin
81,57,,"7,25","After the storm + The period of the ""opera-symphonies"""
82,62,,"7,25","After the storm + The period of the ""opera-symphonies"""
83,27,Hermannstädter,"6,5",Symphonies for Count Morzin
84,14,,"6,45",First Esterház-Symphonies
85,55,The Schoolmaster,"6,1","After the storm + The period of the ""opera-symphonies"""
86,24,,"5,25",The „4 Four-horn-Symphonies“ and other unique creations
87,20,,5,Symphonies for Count Morzin
88,79,,"4,1",First Symphonies for a „new“ audience
89,66,,"3,25","After the storm + The period of the ""opera-symphonies"""
90,9,,"3,15",First Esterház-Symphonies
91,65,,3,Sturm und Drang
92,21,,"2,75",The „4 Four-horn-Symphonies“ and other unique creations
93,36,,"2,5",First Esterház-Symphonies
94,18,,"2,4",Symphonies for Count Morzin
95,4,,"2,3",Symphonies for Count Morzin
96,58,,"2,2",Sturm und Drang
97,10,,"2,05",Symphonies for Count Morzin
98,50,,2,Sturm und Drang
99,107,B,"1,75",First Esterház-Symphonies
100,106,A,"1,5",Symphonies for Count Morzin
101,3,,"1,45",Symphonies for Count Morzin
102,17,,"1,2",Symphonies for Count Morzin
103,15,,"1,2",Symphonies for Count Morzin
104,25,,"0,5",Symphonies for Count Morzin
105,33,,"0,25",First Esterház-Symphonies
106,32,,0,Symphonies for Count Morzin
